,mean,max,min,r,std,vol,fd
21,-3.7025116527083866e-05,1.1050813668450167e-05,-8.51010467226179e-05,-5.855660913629597e-08,3.205062013035602e-05,9.615186039106807e-05,2.8215600939942675e-05
22,-4.565895066805868e-05,-6.0190123170357964e-06,-8.529888901908156e-05,-4.3880867868067335e-05,2.642662556734859e-05,7.927987670204576e-05,3.0403541695959498e-05
23,-6.141945196805784e-05,-2.658472200320912e-06,-0.00012018043173579477,-0.00011946989879175672,3.917398651182462e-05,0.00011752195953547385,3.360614561850958e-05
24,-6.0637771301135335e-05,-2.2194689683535174e-06,-0.00011905607363391715,-7.048989728249804e-05,3.894553488852121e-05,0.00011683660466556364,3.483001963517427e-05
25,-4.5136946742056147e-05,2.537318333237326e-05,-0.00011564707681648554,8.21448684117758e-06,4.7006753382952937e-05,0.0001410202601488588,3.672070409620068e-05
26,-3.749834471326545e-05,4.64440407791596e-05,-0.00012144073020569051,3.813445353481718e-05,5.596159032828337e-05,0.0001678847709848501,4.150289813578615e-05
27,-2.8635417880166884e-05,5.795980179047411e-05,-0.00011523063755080788,4.3376629742549876e-07,5.7730146447094e-05,0.00017319043934128198,4.776360231173523e-05
28,-4.741438121815539e-06,4.883322819409024e-05,-5.8316104437721324e-05,0.0,3.5716444210603856e-05,0.00010714933263181157,4.7072093851491085e-05
29,9.35654133468407e-06,3.144455107337468e-05,-1.2731468404006541e-05,0.0,1.4725339825793741e-05,4.417601947738122e-05,4.2228054838945596e-05
30,7.713643966448553e-06,3.053064272893752e-05,-1.5103354796040413e-05,0.0,1.5211332508325977e-05,4.563399752497793e-05,3.58689706640202e-05
31,8.675325948511597e-08,3.4701303794041525e-07,-1.7350651897018332e-07,0.0,1.7350651897019952e-07,5.205195569105986e-07,2.4711353902157567e-05
32,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,1.3165324612738772e-05
33,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,6.022035770618004e-06
34,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.076967805459259e-06
35,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.470130379406733e-08
36,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.066788664652601e-20
37,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.066788664652601e-20
38,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.066788664652601e-20
39,1.622068093991985e-20,4.055170234979963e-20,-8.110340469959925e-21,0.0,1.622068093991985e-20,4.8662042819759557e-20,3.066788664652601e-20
40,0.00010595386997941012,0.0004238154799176404,-0.00021190773995882019,0.0005297693498970505,0.0002119077399588202,0.0006357232198764606,4.238154799176407e-05
41,3.217075917658443e-06,0.0004982057292217982,-0.0004917715773864813,-0.0005136839703087584,0.0003299924355360932,0.0009899773066082795,0.00010838003509898271
42,3.217075917658443e-06,0.0004982057292217982,-0.0004917715773864813,0.0,0.0003299924355360932,0.0009899773066082795,0.00017437852220620134
43,3.217075917658443e-06,0.0004982057292217982,-0.0004917715773864813,0.0,0.0003299924355360932,0.0009899773066082795,0.00024037700931341994
44,3.217075917658443e-06,0.0004982057292217982,-0.0004917715773864813,0.0,0.0003299924355360932,0.0009899773066082795,0.0003063754964206386
45,-0.00010273679406175166,0.00020547358812350342,-0.00041094717624700673,0.0,0.00020547358812350336,0.0006164207643705101,0.0003050886660535752
46,2.168404344971009e-20,5.421010862427522e-20,-1.0842021724855048e-20,0.0,2.168404344971009e-20,6.505213034913028e-20,0.00023909017894635656
47,8.749857518143964e-05,0.0003499943007257585,-0.00017499715036287924,0.00043749287590719806,0.00017499715036287924,0.0005249914510886377,0.0002080911219117138
48,2.2045303262626237e-05,0.0003870562473797983,-0.00034296564085454584,-0.000327266359594067,0.00024334062941144802,0.0007300218882343441,0.00019076076068678477
49,9.727896448166053e-06,0.000378266076668151,-0.0003588102837718189,-6.158703407230092e-05,0.0002456921201466566,0.0007370763604399699,0.00017390069760889743
50,2.9399865261123136e-07,0.0003704755082425293,-0.00036988751093730685,-4.716948897777411e-05,0.0002467876730599454,0.0007403630191798362,0.00018216351459618584
51,2.9399865261123136e-07,0.0003704755082425293,-0.00036988751093730685,0.0,0.0002467876730599454,0.0007403630191798362,0.00023152104920817494
52,-8.720457652882838e-05,9.662714334876093e-05,-0.0002710362964064177,0.0,0.00012255447991839287,0.0003676634397551786,0.0002210325151192776
53,-2.1751304610014986e-05,1.8789381592569984e-05,-6.229199081259995e-05,0.0,2.7027124135056645e-05,8.108137240516994e-05,0.00017776981406399935
54,-9.433897795554803e-06,1.886779559110967e-05,-3.773559118221927e-05,0.0,1.8867795591109646e-05,5.660338677332894e-05,0.00013240494915288994
55,2.0328790734103208e-20,5.082197683525802e-20,-1.0164395367051604e-20,0.0,2.0328790734103208e-20,6.098637220230962e-20,8.304741454090087e-05
56,2.71730596107869e-05,0.00010869223844314755,-5.434611922157374e-05,0.00013586529805393439,5.434611922157376e-05,0.00016303835766472128,4.455910377322654e-05
57,0.0003883743197289916,0.0014545240672500601,-0.0006777754277920769,0.0018060063005910234,0.0007107664983473789,0.002132299495042137,0.00016220150745902375
