,mean,max,min,r,std,vol,fd
38,5.63982832387304e-06,9.140853439043065e-05,-8.012887774268457e-05,-3.705820957637496e-05,5.7179137377705073e-05,0.0001715374121331152,5.526651593770295e-05
39,1.84194073418071e-05,0.0001052425080376943,-6.840369335408011e-05,4.714298667583876e-05,5.788206713059147e-05,0.00017364620139177442,5.8237490944393515e-05
40,-4.97015587718841e-06,4.4713068945913584e-05,-5.4653380700290404e-05,-3.581284020320928e-06,3.3122149882068e-05,9.936644964620399e-05,5.121038168316872e-05
41,1.033879395624951e-05,8.605026086174813e-05,-6.537267294924911e-05,8.833353204726933e-05,5.047431127033241e-05,0.00015142293381099724,5.1063102891318074e-05
42,6.59227404587263e-06,8.881284679724624e-05,-7.562829870550098e-05,-6.187565489704894e-05,5.481371516758241e-05,0.00016444114550274723,5.069427616565586e-05
43,1.6081935385689373e-05,9.162449460656217e-05,-5.946062383518342e-05,1.0390097122708768e-05,5.0361706147248525e-05,0.00015108511844174558,4.933078991956456e-05
44,4.561272345984846e-05,0.00017858995160704695,-8.736450468735004e-05,0.0001947969270466342,8.865148543146567e-05,0.000265954456294397,5.5484673579739395e-05
45,3.6438899384677036e-05,0.00017951654230963812,-0.00010663874354028406,-4.945040439617804e-05,9.53850952833074e-05,0.0002861552858499222,6.793726265998728e-05
46,8.064068120227413e-06,0.00015329194025414023,-0.00013716380401368542,-5.354062427497879e-05,9.681858142260855e-05,0.00029045574426782566,7.720611669044251e-05
47,-3.2588672479123584e-06,0.00015739189673396153,-0.00016390963122978625,-0.0001184903317377478,0.00010710050932124925,0.00032130152796374777,8.766347552117588e-05
48,2.0429745170536438e-05,0.0002001906525274003,-0.0001593311621863274,0.00012883315921495276,0.00011984060490457591,0.0003595218147137277,0.00010155925527264137
49,-3.962100883426086e-05,9.323175917824338e-05,-0.0001724737768467651,-0.00010545684297735224,8.856851200833616e-05,0.0002657055360250085,0.00010154266058801547
50,8.00514729906197e-06,0.00019762977973411454,-0.0001816194851359906,0.00018868037627043608,0.00012641642162336837,0.00037924926487010514,0.00010774892585602765
51,0.0002136646546319002,0.0008133823957919275,-0.0003860530865281272,0.0009747569123892123,0.0003998118274400183,0.0011994354823200548,0.00016834757505950962
52,0.0003463803011314631,0.0009119000776210233,-0.00021913947535809705,0.0005450879007600669,0.00037701318432637344,0.0011310395529791203,0.00022233011006053444
